alpha,condition,js,nll,nll_zero
0.5,shuf,0.058439433574676514,1.9448082447052002,1.4160114526748657
1.0,real,0.12005200982093811,0.5502554178237915,1.4160114526748657
1.0,shuf,0.15749725699424744,2.4962828159332275,1.4160114526748657
2.0,real,0.2106321156024933,1.7234561443328857,1.4160114526748657
2.0,shuf,0.48660388588905334,7.503752708435059,1.4160114526748657
0.0,real,0.0,2.0871634483337402,2.0871634483337402
0.0,shuf,0.0,2.0871634483337402,2.0871634483337402
0.25,real,0.0499064102768898,1.1228408813476562,2.0871634483337402
0.25,shuf,0.03680574148893356,1.467755913734436,2.0871634483337402
0.5,real,0.14811192452907562,0.5740414261817932,2.0871634483337402
0.5,shuf,0.07897026836872101,1.2076442241668701,2.0871634483337402
1.0,real,0.24732059240341187,0.3350268602371216,2.0871634483337402
1.0,shuf,0.12646253407001495,0.9923655986785889,2.0871634483337402
2.0,real,0.352202445268631,1.4336451292037964,2.0871634483337402
2.0,shuf,0.2758619785308838,1.8899012804031372,2.0871634483337402
0.0,real,0.0,4.444888591766357,4.444888591766357
0.0,shuf,0.0,4.444888591766357,4.444888591766357
0.25,real,0.031036416068673134,3.761873960494995,4.444888591766357
0.25,shuf,0.047964345663785934,4.235720634460449,4.444888591766357
0.5,real,0.08065718412399292,3.16416597366333,4.444888591766357
0.5,shuf,0.10891936719417572,4.297764301300049,4.444888591766357
1.0,real,0.24680158495903015,2.351564407348633,4.444888591766357
1.0,shuf,0.20370161533355713,4.758252143859863,4.444888591766357
2.0,real,0.3748314380645752,4.257384300231934,4.444888591766357
2.0,shuf,0.3471359610557556,5.880342960357666,4.444888591766357
0.0,real,0.0,2.8280439376831055,2.8280439376831055
0.0,shuf,0.0,2.8280439376831055,2.8280439376831055
0.25,real,0.027806086465716362,2.5488433837890625,2.8280439376831055
0.25,shuf,0.03083290532231331,2.298581600189209,2.8280439376831055
0.5,real,0.04415042698383331,2.8668570518493652,2.8280439376831055
0.5,shuf,0.06093873083591461,2.3978538513183594,2.8280439376831055
1.0,real,0.08832909166812897,2.905547618865967,2.8280439376831055
1.0,shuf,0.11777587234973907,2.819754123687744,2.8280439376831055
2.0,real,0.1685914397239685,3.48734712600708,2.8280439376831055
2.0,shuf,0.18465778231620789,2.938607692718506,2.8280439376831055
0.0,real,0.0,0.019040897488594055,0.019040897488594055
0.0,shuf,0.0,0.019040897488594055,0.019040897488594055
0.25,real,0.0008137411787174642,0.010063858702778816,0.019040897488594055
0.25,shuf,0.0005179015570320189,0.011798127554357052,0.019040897488594055
0.5,real,0.001850784639827907,0.006493658293038607,0.019040897488594055
0.5,shuf,0.0007822199258953333,0.010793754830956459,0.019040897488594055
1.0,real,0.0032180417329072952,0.004390719346702099,0.019040897488594055
1.0,shuf,0.0021241148933768272,0.012025830335915089,0.019040897488594055
2.0,real,0.04219629988074303,0.15688765048980713,0.019040897488594055
2.0,shuf,0.6027475595474243,3.509385585784912,0.019040897488594055
0.0,real,0.0,4.58189582824707,4.58189582824707
0.0,shuf,0.0,4.58189582824707,4.58189582824707
0.25,real,0.012056855484843254,4.894781112670898,4.58189582824707
0.25,shuf,0.01123495027422905,5.007759094238281,4.58189582824707
0.5,real,0.03620260953903198,5.007349014282227,4.58189582824707
0.5,shuf,0.03490057587623596,5.148598670959473,4.58189582824707
1.0,real,0.042038917541503906,5.045450210571289,4.58189582824707
1.0,shuf,0.04148855060338974,5.308366775512695,4.58189582824707
2.0,real,0.23345518112182617,5.820654392242432,4.58189582824707
2.0,shuf,0.1248696893453598,5.866395473480225,4.58189582824707
0.0,real,0.0,0.2729034423828125,0.2729034423828125
0.0,shuf,0.0,0.2729034423828125,0.2729034423828125
0.25,real,0.02573232725262642,0.12440498918294907,0.2729034423828125
0.25,shuf,0.020256849005818367,0.3310664892196655,0.2729034423828125
0.5,real,0.04540204629302025,0.06475335359573364,0.2729034423828125
0.5,shuf,0.03348608314990997,0.3511542081832886,0.2729034423828125
1.0,real,0.05989379435777664,0.04019336402416229,0.2729034423828125
1.0,shuf,0.09876082092523575,0.6835129857063293,0.2729034423828125
2.0,real,0.5288145542144775,3.497776508331299,0.2729034423828125
2.0,shuf,0.45933133363723755,2.7625114917755127,0.2729034423828125
0.0,real,0.0,3.608217716217041,3.608217716217041
0.0,shuf,0.0,3.608217716217041,3.608217716217041
0.25,real,0.017764585092663765,2.9451098442077637,3.608217716217041
0.25,shuf,0.02073977328836918,3.0987308025360107,3.608217716217041
0.5,real,0.030419770628213882,2.8860561847686768,3.608217716217041
0.5,shuf,0.041204892098903656,3.1107349395751953,3.608217716217041
1.0,real,0.08290820568799973,2.69912052154541,3.608217716217041
1.0,shuf,0.09788338094949722,3.395545244216919,3.608217716217041
2.0,real,0.27799928188323975,3.368475914001465,3.608217716217041
2.0,shuf,0.2795916497707367,4.010599136352539,3.608217716217041
0.0,real,0.0,2.9005258083343506,2.9005258083343506
0.0,shuf,0.0,2.9005258083343506,2.9005258083343506
0.25,real,0.010696353390812874,2.8930411338806152,2.9005258083343506
0.25,shuf,0.01019357517361641,2.732865810394287,2.9005258083343506
0.5,real,0.03401254117488861,3.110563039779663,2.9005258083343506
0.5,shuf,0.026196513324975967,2.9386484622955322,2.9005258083343506
1.0,real,0.10078772902488708,3.405062198638916,2.9005258083343506
1.0,shuf,0.06745348870754242,2.988377571105957,2.9005258083343506
2.0,real,0.29130819439888,4.424260139465332,2.9005258083343506
2.0,shuf,0.21103128790855408,3.355178117752075,2.9005258083343506
0.0,real,0.0,3.5188114643096924,3.5188114643096924
0.0,shuf,0.0,3.5188114643096924,3.5188114643096924
0.25,real,0.06839606165885925,3.082893133163452,3.5188114643096924
0.25,shuf,0.06995001435279846,3.1147608757019043,3.5188114643096924
0.5,real,0.13427793979644775,2.880915403366089,3.5188114643096924
0.5,shuf,0.13161644339561462,2.9046380519866943,3.5188114643096924
1.0,real,0.21898411214351654,3.571284294128418,3.5188114643096924
1.0,shuf,0.20547866821289062,4.173162937164307,3.5188114643096924
2.0,real,0.2634735107421875,4.606016159057617,3.5188114643096924
2.0,shuf,0.34116995334625244,6.197081565856934,3.5188114643096924
0.0,real,0.0,7.249835014343262,7.249835014343262
0.0,shuf,0.0,7.249835014343262,7.249835014343262
0.25,real,0.02243264950811863,6.551509857177734,7.249835014343262
0.25,shuf,0.0236964114010334,6.878235816955566,7.249835014343262
0.5,real,0.045579567551612854,6.3208723068237305,7.249835014343262
0.5,shuf,0.051506802439689636,6.683945178985596,7.249835014343262
1.0,real,0.08194166421890259,6.293572425842285,7.249835014343262
1.0,shuf,0.10952551662921906,6.710900783538818,7.249835014343262
2.0,real,0.26662617921829224,8.397266387939453,7.249835014343262
2.0,shuf,0.24794957041740417,7.029921054840088,7.249835014343262
0.0,real,0.0,0.016880637034773827,0.016880637034773827
0.0,shuf,0.0,0.016880637034773827,0.016880637034773827
0.25,real,0.003664845135062933,0.0018716213526204228,0.016880637034773827
0.25,shuf,0.003550566965714097,0.001989767886698246,0.016880637034773827
0.5,real,0.005155780352652073,0.0004180987598374486,0.016880637034773827
0.5,shuf,0.004962420091032982,0.0005793085438199341,0.016880637034773827
1.0,real,0.005507985129952431,0.0001662831346038729,0.016880637034773827
1.0,shuf,0.005333217326551676,0.0002967870968859643,0.016880637034773827
2.0,real,0.004577765706926584,0.010638901963829994,0.016880637034773827
2.0,shuf,0.2836627960205078,1.0270780324935913,0.016880637034773827
0.0,real,0.0,3.1878957748413086,3.1878957748413086
0.0,shuf,0.0,3.1878957748413086,3.1878957748413086
0.25,real,0.03744993358850479,3.4653139114379883,3.1878957748413086
0.25,shuf,0.028818994760513306,3.939516544342041,3.1878957748413086
0.5,real,0.11336055397987366,4.252841472625732,3.1878957748413086
0.5,shuf,0.10219074040651321,4.999988555908203,3.1878957748413086
1.0,real,0.16064438223838806,4.553108215332031,3.1878957748413086
1.0,shuf,0.17830179631710052,6.064836025238037,3.1878957748413086
2.0,real,0.19997626543045044,3.7199201583862305,3.1878957748413086
2.0,shuf,0.5700070858001709,9.041860580444336,3.1878957748413086
0.0,real,0.0,2.692282199859619,2.692282199859619
0.0,shuf,0.0,2.692282199859619,2.692282199859619
0.25,real,0.03469628468155861,2.491363525390625,2.692282199859619
0.25,shuf,0.03655792027711868,2.3209311962127686,2.692282199859619
0.5,real,0.1349133849143982,2.3507542610168457,2.692282199859619
0.5,shuf,0.12443910539150238,2.363070487976074,2.692282199859619
1.0,real,0.2249153107404709,3.255002021789551,2.692282199859619
1.0,shuf,0.3034570813179016,4.1774115562438965,2.692282199859619
2.0,real,0.23967568576335907,4.672823905944824,2.692282199859619
2.0,shuf,0.40429675579071045,5.666027069091797,2.692282199859619
0.0,real,0.0,2.7595481872558594,2.7595481872558594
0.0,shuf,0.0,2.7595481872558594,2.7595481872558594
0.25,real,0.05354170501232147,2.3369858264923096,2.7595481872558594
0.25,shuf,0.05272375047206879,2.6396641731262207,2.7595481872558594
0.5,real,0.11116963624954224,2.2823898792266846,2.7595481872558594
0.5,shuf,0.10820990800857544,2.5489420890808105,2.7595481872558594
1.0,real,0.15979626774787903,2.2502334117889404,2.7595481872558594
1.0,shuf,0.14617179334163666,2.410043716430664,2.7595481872558594
2.0,real,0.37706416845321655,4.4104132652282715,2.7595481872558594
2.0,shuf,0.24504737555980682,3.083700180053711,2.7595481872558594
0.0,real,0.0,12.504358291625977,12.504358291625977
0.0,shuf,0.0,12.504358291625977,12.504358291625977
0.25,real,0.02136639691889286,12.983440399169922,12.504358291625977
